archetype_cluster,n,avg_position,avg_ctr,avg_engagement,avg_age_days,suggested_action
0,44109,8.97,0.009,0.008,269.564,DISTRIBUTE_SUPPORT
1,58538,11.51,0.004,0.01,55.344,DISTRIBUTE_SUPPORT
2,14641,13.222,0.003,0.009,146.669,REVIEW_TITLE_META
3,10618,52.337,0.002,0.004,242.066,REFRESH_CANDIDATE
4,1377,14.548,0.025,0.721,173.871,MONITOR_ONLY
5,22,26.055,0.0,0.061,303.364,REFRESH_CANDIDATE
